상품명,판매가격,세일여부,1+1,구매여부,세일여부,1+1,1+1에따른가격
머거본 꿀땅콩(135g),3200,N,N,0,0,0,3200
머거본 꿀땅콩(135g),3000,N,N,0,0,0,3000
머거본 꿀땅콩(135g),2500,N,N,0,0,0,2500
머거본 꿀땅콩(135g),2780,N,N,0,0,0,2780
머거본 꿀땅콩(135g),2950,N,N,0,0,0,2950
머거본 꿀땅콩(135g),3400,N,N,1,0,1,1700
허니버터 아몬드(250g),6990,N,N,0,0,0,6990
허니버터 아몬드(250g),7980,N,N,0,0,0,7980
허니버터 아몬드(250g),7950,N,N,0,0,0,7950
허니버터 아몬드(250g),8150,N,N,0,0,0,8150
허니버터 아몬드(250g),7990,N,N,1,0,1,3995
허니버터 아몬드(250g),7700,N,N,0,0,0,7700
허니버터 아몬드(250g),6980,N,N,0,0,0,6980
허니버터 아몬드(250g),6320,N,N,0,0,0,6320
허니버터 아몬드(250g),7900,N,N,0,0,0,7900
샘표소면(1.1kg),3290,N,N,0,0,0,3290
샘표소면(1.1kg),3280,N,N,1,0,0,3280
옛날국수소면,1980,N,N,0,0,1,990
옛날국수소면,2600,N,N,0,0,0,2600
옛날국수소면,2300,N,N,0,0,0,2300
옛날국수소면,1980,Y,N,0,1,0,1980
옛날국수소면,2200,N,N,0,0,0,2200
옛날국수소면,2490,N,N,0,0,0,2490
옛날국수소면,2800,N,N,0,0,0,2800
옛날국수소면,2180,Y,N,0,1,0,2180
옛날국수소면,1880,N,N,0,0,0,1880
옛날국수소면,2390,N,N,0,0,0,2390
옛날국수소면,2100,N,N,0,0,0,2100
옛날국수소면,2700,N,N,0,0,1,1350
옛날국수소면,3100,N,N,0,0,0,3100
옛날국수소면,2400,N,N,0,0,0,2400
옛날국수소면,2780,N,N,0,0,0,2780
옛날국수소면,2250,N,N,0,0,0,2250
옛날국수소면,2480,N,N,0,0,0,2480
옛날국수소면,2150,N,N,0,0,0,2150
옛날국수소면,2350,N,N,0,0,0,2350
옛날국수소면,3200,N,N,0,0,0,3200
옛날국수소면,1950,N,N,0,0,0,1950
옛날국수소면,2500,N,N,0,0,0,2500
옛날국수소면,1900,Y,N,0,1,0,1900
옛날국수소면,1180,N,N,1,0,1,590
옛날국수소면,2580,N,N,0,0,0,2580
옛날국수소면,1780,N,N,0,0,0,1780
옛날국수소면,1480,N,N,0,0,0,1480
옛날국수소면,2980,N,N,0,0,0,2980
제일제면소 소면(900g),1980,N,N,0,0,0,1980
제일제면소 소면(900g),3490,N,N,0,0,0,3490
제일제면소 소면(900g),4000,N,N,0,0,0,4000
제일제면소 소면(900g),3400,N,N,0,0,0,3400
제일제면소 소면(900g),3000,N,N,1,0,1,1500
제일제면소 소면(900g),3200,N,N,0,0,0,3200
제일제면소 소면(900g),3550,N,N,0,0,0,3550
제일제면소 소면(900g),2750,N,N,0,0,0,2750
제일제면소 소면(900g),3500,N,N,0,0,0,3500
제일제면소 소면(900g),2150,Y,N,0,1,0,2150
제일제면소 소면(900g),1980,Y,N,0,1,0,1980
제일제면소 소면(900g),3900,N,N,0,0,0,3900
제일제면소 소면(900g),3690,N,N,0,0,0,3690
제일제면소 소면(900g),2600,N,N,0,0,0,2600
제일제면소 소면(900g),3380,N,N,0,0,0,3380
제일제면소 소면(900g),3350,N,N,0,0,0,3350
제일제면소 소면(900g),3300,N,N,0,0,0,3300
제일제면소 소면(900g),3250,N,N,0,0,0,3250
제일제면소 소면(900g),3630,N,N,0,0,0,3630
제일제면소 소면(900g),2200,N,N,0,0,0,2200
제일제면소 소면(900g),2000,Y,N,0,1,0,2000
제일제면소 소면(900g),2500,N,N,0,0,0,2500
제일제면소 소면(900g),2480,N,N,0,0,0,2480
제일제면소 소면(900g),2990,N,N,0,0,0,2990
제일제면소 소면(900g),2400,N,N,0,0,0,2400
CJ 비비고 왕교자(910g),8690,N,N,0,0,0,8690
CJ 비비고 왕교자(910g),7880,N,N,0,0,0,7880
CJ 비비고 왕교자(910g),8990,N,N,0,0,0,8990
CJ 비비고 왕교자(910g),7280,N,N,0,0,0,7280
CJ 비비고 왕교자(910g),6990,N,N,0,0,0,6990
CJ 비비고 왕교자(910g),6900,N,N,0,0,0,6900
CJ 비비고 왕교자(910g),6980,N,N,0,0,0,6980
CJ 비비고 왕교자(910g),7490,N,N,0,0,0,7490
CJ 비비고 왕교자(910g),7980,N,N,1,0,1,3990
CJ 비비고 왕교자(910g),7990,N,N,0,0,0,7990
CJ 비비고 왕교자(910g),5990,N,N,0,0,0,5990
CJ 비비고 왕교자(910g),8450,N,N,0,0,0,8450
고향만두,6110,N,N,0,0,0,6110
고향만두,6500,N,N,0,0,0,6500
고향만두,5900,N,N,1,0,0,5900
고향만두,6580,N,N,0,0,0,6580
동원 개성 왕만두,7180,N,N,0,0,0,7180
동원 개성 왕만두,6980,N,N,1,0,0,6980
동원 개성 왕만두,6990,N,N,0,0,0,6990
