상품명,판매가격,세일여부,1+1,구매여부
머거본 꿀땅콩(135g),3200,0,0,0
머거본 꿀땅콩(135g),3000,0,0,0
머거본 꿀땅콩(135g),2500,0,0,0
머거본 꿀땅콩(135g),2780,0,0,0
머거본 꿀땅콩(135g),2950,0,0,0
머거본 꿀땅콩(135g),3400,0,0,1
허니버터 아몬드(250g),6990,0,0,0
허니버터 아몬드(250g),7980,0,0,0
허니버터 아몬드(250g),7950,0,0,0
허니버터 아몬드(250g),8150,0,0,0
허니버터 아몬드(250g),7990,0,0,1
허니버터 아몬드(250g),7700,0,0,0
허니버터 아몬드(250g),6980,0,0,0
허니버터 아몬드(250g),6320,0,0,0
허니버터 아몬드(250g),7900,0,0,0
샘표소면(1.1kg),3290,0,0,0
샘표소면(1.1kg),3280,0,0,1
옛날국수소면,1980,0,0,0
옛날국수소면,2600,0,0,0
옛날국수소면,2300,0,0,0
옛날국수소면,1980,1,0,0
옛날국수소면,2200,0,0,0
옛날국수소면,2490,0,0,0
옛날국수소면,2800,0,0,0
옛날국수소면,2180,1,0,0
옛날국수소면,1880,0,0,0
옛날국수소면,2390,0,0,0
옛날국수소면,2100,0,0,0
옛날국수소면,2700,0,0,0
옛날국수소면,3100,0,0,0
옛날국수소면,2400,0,0,0
옛날국수소면,2780,0,0,0
옛날국수소면,2250,0,0,0
옛날국수소면,2480,0,0,0
옛날국수소면,2150,0,0,0
옛날국수소면,2350,0,0,0
옛날국수소면,3200,0,0,0
옛날국수소면,1950,0,0,0
옛날국수소면,2500,0,0,0
옛날국수소면,1900,1,0,0
옛날국수소면,1180,0,0,1
옛날국수소면,2580,0,0,0
옛날국수소면,1780,0,0,0
옛날국수소면,1480,0,0,0
옛날국수소면,2980,0,0,0
제일제면소 소면(900g),1980,0,0,0
제일제면소 소면(900g),3490,0,0,0
제일제면소 소면(900g),4000,0,0,0
제일제면소 소면(900g),3400,0,0,0
제일제면소 소면(900g),3000,0,0,1
제일제면소 소면(900g),3200,0,0,0
제일제면소 소면(900g),3550,0,0,0
제일제면소 소면(900g),2750,0,0,0
제일제면소 소면(900g),3500,0,0,0
제일제면소 소면(900g),2150,1,0,0
제일제면소 소면(900g),1980,1,0,0
제일제면소 소면(900g),3900,0,0,0
제일제면소 소면(900g),3690,0,0,0
제일제면소 소면(900g),2600,0,0,0
제일제면소 소면(900g),3380,0,0,0
제일제면소 소면(900g),3350,0,0,0
제일제면소 소면(900g),3300,0,0,0
제일제면소 소면(900g),3250,0,0,0
제일제면소 소면(900g),3630,0,0,0
제일제면소 소면(900g),2200,0,0,0
제일제면소 소면(900g),2000,1,0,0
제일제면소 소면(900g),2500,0,0,0
제일제면소 소면(900g),2480,0,0,0
제일제면소 소면(900g),2990,0,0,0
제일제면소 소면(900g),2400,0,0,0
CJ 비비고 왕교자(910g),8690,0,0,0
CJ 비비고 왕교자(910g),7880,0,0,0
CJ 비비고 왕교자(910g),8990,0,0,0
CJ 비비고 왕교자(910g),7280,0,0,0
CJ 비비고 왕교자(910g),6990,0,0,0
CJ 비비고 왕교자(910g),6900,0,0,0
CJ 비비고 왕교자(910g),6980,0,0,0
CJ 비비고 왕교자(910g),7490,0,0,0
CJ 비비고 왕교자(910g),7980,0,0,1
CJ 비비고 왕교자(910g),7990,0,0,0
CJ 비비고 왕교자(910g),5990,0,0,0
CJ 비비고 왕교자(910g),8450,0,0,0
고향만두,6110,0,0,0
고향만두,6500,0,0,0
고향만두,5900,0,0,1
고향만두,6580,0,0,0
동원 개성 왕만두,7180,0,0,0
동원 개성 왕만두,6980,0,0,1
동원 개성 왕만두,6990,0,0,0
생야채돼지고기물만두(400g*2봉),7980,0,0,0
생야채돼지고기물만두(400g*2봉),7860,0,0,1
생야채돼지고기물만두(400g*2봉),4090,0,0,0
생야채돼지고기물만두(400g*2봉),8180,0,0,0
생야채돼지고기물만두(400g*2봉),6480,0,0,0
생야채돼지고기물만두(400g*2봉),5720,0,0,0
CJ 100% 국산 햇당면(400g),6470,0,0,0
CJ 100% 국산 햇당면(400g),5400,0,0,0
CJ 100% 국산 햇당면(400g),6580,1,0,0
CJ 100% 국산 햇당면(400g),6290,0,0,0
CJ 100% 국산 햇당면(400g),6500,0,0,0
CJ 100% 국산 햇당면(400g),4800,0,0,0
CJ 100% 국산 햇당면(400g),6600,0,0,0
CJ 100% 국산 햇당면(400g),6300,0,0,0
CJ 100% 국산 햇당면(400g),6800,0,0,0
CJ 100% 국산 햇당면(400g),6950,0,0,0
CJ 100% 국산 햇당면(400g),5680,0,0,0
CJ 100% 국산 햇당면(400g),5200,0,0,0
CJ 100% 국산 햇당면(400g),4060,0,0,0
CJ 100% 국산 햇당면(400g),4680,0,0,0
CJ 100% 국산 햇당면(400g),6900,0,0,0
CJ 100% 국산 햇당면(400g),4450,0,0,0
CJ 100% 국산 햇당면(400g),4400,0,0,0
CJ 100% 국산 햇당면(400g),4200,0,0,0
CJ 100% 국산 햇당면(400g),4800,1,0,0
CJ 100% 국산 햇당면(400g),5000,0,0,1
CJ 100% 국산 햇당면(400g),6490,0,0,0
CJ 100% 국산 햇당면(400g),6000,0,0,0
CJ 100% 국산 햇당면(400g),4510,0,0,0
CJ 100% 국산 햇당면(400g),4980,0,0,0
CJ 100% 국산 햇당면(400g),4500,0,0,0
CJ 100% 국산 햇당면(400g),5080,0,0,0
CJ 100% 국산 햇당면(400g),6350,0,0,0
옛날당면,4990,0,0,0
옛날당면,4400,0,0,0
옛날당면,5350,0,0,0
옛날당면,4980,0,0,0
옛날당면,5600,0,0,0
옛날당면,4790,0,0,0
옛날당면,4250,0,0,0
옛날당면,4500,0,0,0
옛날당면,6290,0,0,0
옛날당면,5000,0,0,0
옛날당면,6000,0,0,0
옛날당면,5500,0,0,0
옛날당면,5200,0,0,0
옛날당면,4900,0,0,1
옛날당면,4950,0,0,0
옛날당면,4000,0,0,0
옛날당면,3600,0,0,0
옛날당면,5700,0,0,0
옛날당면,5800,0,0,0
고소한국산콩두부(부침용)(대상),3650,0,0,0
고소한국산콩두부(부침용)(대상),2700,0,0,0
고소한국산콩두부(부침용)(대상),3750,0,0,0
고소한국산콩두부(부침용)(대상),3950,0,0,1
풀무원 국산콩두부(찌개용)(380g),3900,0,0,0
풀무원 국산콩두부(찌개용)(380g),3600,0,0,1
행복한콩 노릇하게잘구워지는 부침두부,1590,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1380,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1000,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,990,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1190,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1200,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1290,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1600,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1300,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1040,0,0,1
행복한콩 노릇하게잘구워지는 부침두부,1000,1,0,0
행복한콩 노릇하게잘구워지는 부침두부,950,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1250,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1500,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,990,1,0,0
행복한콩 노릇하게잘구워지는 부침두부,1450,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,940,0,0,0
행복한콩 노릇하게잘구워지는 부침두부,1490,0,0,0
행복한콩 양념이잘배는 찌개두부,1000,1,0,0
행복한콩 양념이잘배는 찌개두부,1100,0,0,0
행복한콩 양념이잘배는 찌개두부,1590,0,0,0
행복한콩 양념이잘배는 찌개두부,1490,0,0,0
행복한콩 양념이잘배는 찌개두부,990,1,0,0
행복한콩 양념이잘배는 찌개두부,1200,0,0,0
행복한콩 양념이잘배는 찌개두부,1280,0,0,0
행복한콩 양념이잘배는 찌개두부,990,0,0,0
행복한콩 양념이잘배는 찌개두부,1350,0,0,0
행복한콩 양념이잘배는 찌개두부,1000,0,0,0
행복한콩 양념이잘배는 찌개두부,1150,0,0,0
행복한콩 양념이잘배는 찌개두부,1180,0,0,0
행복한콩 양념이잘배는 찌개두부,940,0,0,0
행복한콩 양념이잘배는 찌개두부,1040,0,0,0
행복한콩 양념이잘배는 찌개두부,950,0,0,0
행복한콩 양념이잘배는 찌개두부,1250,0,0,0
행복한콩 양념이잘배는 찌개두부,1500,0,0,0
행복한콩 양념이잘배는 찌개두부,1300,0,0,0
행복한콩 양념이잘배는 찌개두부,1290,0,0,0
행복한콩 양념이잘배는 찌개두부,1190,0,0,0
CJ 참쌀떡국떡(1kg),3380,0,0,0
CJ 참쌀떡국떡(1kg),3780,0,0,0
CJ 참쌀떡국떡(1kg),3500,0,0,0
CJ 참쌀떡국떡(1kg),3500,1,0,0
CJ 참쌀떡국떡(1kg),2980,1,0,1
생가득 우리쌀 떡국떡(700g),4980,0,0,0
생가득 우리쌀 떡국떡(700g),5900,0,0,0
생가득 우리쌀 떡국떡(700g),5800,0,0,1
생가득 우리쌀 떡국떡(700g),6090,0,0,0
생가득 우리쌀 떡국떡(700g),4840,0,0,0
생가득 우리쌀 떡국떡(700g),6500,0,0,0
생가득 우리쌀 떡국떡(700g),4980,1,0,0
생가득 우리쌀 떡국떡(700g),6400,0,0,0
오뚜기 우리쌀 떡국떡(600g),4980,0,0,0
오뚜기 우리쌀 떡국떡(600g),3890,0,0,1
오뚜기 우리쌀 떡국떡(600g),3900,0,0,0
오뚜기 우리쌀 떡국떡(600g),4950,0,0,0
삼양라면 5개입,2280,0,0,0
삼양라면 5개입,3600,0,0,0
삼양라면 5개입,3300,0,0,0
삼양라면 5개입,3800,0,0,0
삼양라면 5개입,3500,0,0,0
삼양라면 5개입,3280,0,0,0
삼양라면 5개입,3200,0,0,0
삼양라면 5개입,3400,0,0,0
삼양라면 5개입,2980,0,0,0
삼양라면 5개입,3390,0,0,0
삼양라면 5개입,3750,0,0,0
삼양라면 5개입,2980,1,0,0
삼양라면 5개입,3600,1,0,0
삼양라면 5개입,4000,0,0,0
삼양라면 5개입,3000,0,0,1
